Data,Temp_Max,Chuva_mm,Data_Extracao
2026-01-10,25.6,25.8,2026-02-09 14:54:49
2026-01-11,23.8,3.2,2026-02-09 14:54:49
2026-01-12,23.6,0.8,2026-02-09 14:54:49
2026-01-13,26.1,0.3,2026-02-09 14:54:49
2026-01-14,28.2,0.0,2026-02-09 14:54:49
2026-01-15,29.5,0.0,2026-02-09 14:54:49
2026-01-16,27.4,3.5,2026-02-09 14:54:49
2026-01-17,27.6,1.5,2026-02-09 14:54:49
2026-01-18,25.5,12.2,2026-02-09 14:54:49
2026-01-19,22.4,0.5,2026-02-09 14:54:49
2026-01-20,23.5,0.0,2026-02-09 14:54:49
2026-01-21,24.8,0.5,2026-02-09 14:54:49
2026-01-22,26.1,0.0,2026-02-09 14:54:49
2026-01-23,26.7,0.0,2026-02-09 14:54:49
2026-01-24,27.0,0.0,2026-02-09 14:54:49
2026-01-25,28.6,0.0,2026-02-09 14:54:49
2026-01-26,29.9,0.0,2026-02-09 14:54:49
2026-01-27,30.4,0.7,2026-02-09 14:54:49
2026-01-28,31.5,3.4,2026-02-09 14:54:49
2026-01-29,27.7,19.7,2026-02-09 14:54:49
2026-01-30,26.2,2.0,2026-02-09 14:54:49
2026-01-31,25.2,0.6,2026-02-09 14:54:49
2026-02-01,25.6,0.0,2026-02-09 14:54:49
2026-02-02,28.7,0.0,2026-02-09 14:54:49
2026-02-03,28.7,0.4,2026-02-09 14:54:49
2026-02-04,29.5,0.0,2026-02-09 14:54:49
2026-02-05,30.4,0.0,2026-02-09 14:54:49
2026-02-06,31.8,0.0,2026-02-09 14:54:49
2026-02-07,23.5,17.8,2026-02-09 14:54:49
2026-02-08,27.5,0.1,2026-02-09 14:54:49
2026-02-09,28.0,0.8,2026-02-09 14:54:49
